"Município (Res)";"Freqüência"
"230440 Fortaleza";1
"315780 Santa Luzia";1
"330200 Itaguaí";1
"330455 Rio de Janeiro";3
"350950 Campinas";2
"353440 Osasco";1
"354100 Praia Grande";1
"355030 São Paulo";4
"411820 Paranaguá";1
"431740 Santiago";1
