"Tabela 6449 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Variável - Número de empresas e outras organizações (Unidades)"
"Município";"Ano x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Município";"2015"
"Município";"Total";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";"B Indústrias extrativas";"C Indústrias de transformação";"D Eletricidade e gás";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";"F Construção";"G Comércio; reparação de veículos automotores e motocicletas";"H Transporte, armazenagem e correio";"I Alojamento e alimentação";"J Informação e comunicação";"K Atividades financeiras, de seguros e serviços relacionados";"L Atividades imobiliárias";"M Atividades profissionais, científicas e técnicas";"N Atividades administrativas e serviços complementares";"O Administração pública, defesa e seguridade social";"P Educação";"Q Saúde humana e serviços sociais";"R Artes, cultura, esporte e recreação";"S Outras atividades de serviços";"T Serviços domésticos";"U Organismos internacionais e outras instituições extraterritoriais"
"Castanheiras (RO)";"25";"2";"-";"-";"-";"-";"2";"13";"1";"-";"-";"-";"-";"-";"2";"2";"1";"-";"-";"2";"-";"-"
"Chupinguaia (RO)";"156";"8";"1";"11";"2";"-";"6";"80";"7";"13";"1";"-";"-";"6";"4";"5";"3";"3";"1";"5";"-";"-"
"Cujubim (RO)";"372";"24";"-";"80";"-";"-";"7";"169";"22";"10";"-";"-";"-";"5";"7";"2";"4";"3";"2";"37";"-";"-"
"Governador Jorge Teixeira (RO)";"75";"2";"-";"3";"-";"-";"-";"38";"1";"-";"2";"1";"-";"1";"1";"5";"3";"2";"1";"15";"-";"-"
"Itapuã do Oeste (RO)";"103";"7";"1";"14";"-";"-";"1";"55";"2";"9";"-";"-";"-";"1";"3";"2";"1";"2";"1";"4";"-";"-"
"Ministro Andreazza (RO)";"77";"1";"-";"10";"-";"-";"1";"42";"2";"2";"1";"1";"-";"2";"3";"4";"2";"1";"1";"4";"-";"-"
"Mirante da Serra (RO)";"208";"2";"-";"22";"-";"-";"2";"107";"2";"6";"2";"1";"-";"1";"9";"4";"7";"8";"1";"34";"-";"-"
"Monte Negro (RO)";"183";"4";"1";"17";"-";"-";"12";"92";"10";"8";"3";"-";"1";"2";"6";"5";"6";"6";"1";"9";"-";"-"
"Nova União (RO)";"123";"1";"2";"2";"-";"-";"2";"61";"2";"5";"-";"-";"-";"1";"4";"4";"2";"2";"-";"35";"-";"-"
"Parecis (RO)";"60";"5";"-";"6";"-";"-";"1";"29";"2";"3";"1";"-";"-";"1";"1";"4";"1";"1";"1";"4";"-";"-"
"Pimenteiras do Oeste (RO)";"25";"1";"1";"1";"-";"-";"-";"7";"2";"4";"-";"-";"-";"-";"3";"2";"-";"-";"1";"3";"-";"-"
"Primavera de Rondônia (RO)";"54";"-";"-";"3";"-";"1";"1";"15";"-";"-";"1";"-";"-";"3";"3";"4";"5";"-";"-";"18";"-";"-"
"São Felipe D'Oeste (RO)";"76";"-";"-";"2";"-";"1";"-";"34";"1";"1";"1";"-";"-";"2";"2";"2";"5";"1";"1";"23";"-";"-"
"São Francisco do Guaporé (RO)";"254";"1";"3";"29";"-";"2";"11";"140";"8";"13";"1";"-";"-";"4";"8";"4";"6";"6";"1";"17";"-";"-"
"Seringueiras (RO)";"136";"-";"-";"12";"-";"1";"1";"71";"8";"1";"-";"-";"-";"3";"4";"3";"6";"2";"1";"23";"-";"-"
"Teixeirópolis (RO)";"46";"1";"-";"4";"-";"-";"2";"29";"-";"1";"2";"-";"-";"-";"1";"3";"1";"1";"-";"1";"-";"-"
"Theobroma (RO)";"53";"2";"1";"1";"-";"-";"-";"37";"-";"-";"-";"-";"-";"-";"1";"3";"2";"-";"-";"6";"-";"-"
"Urupá (RO)";"129";"-";"2";"5";"-";"1";"5";"84";"1";"3";"-";"-";"-";"4";"4";"2";"4";"2";"2";"10";"-";"-"
"Vale do Anari (RO)";"92";"-";"-";"5";"-";"-";"-";"48";"2";"1";"-";"-";"-";"2";"1";"4";"4";"3";"-";"22";"-";"-"
"Vale do Paraíso (RO)";"72";"-";"-";"1";"-";"-";"2";"48";"2";"1";"1";"-";"-";"1";"1";"3";"5";"3";"-";"4";"-";"-"
"Acrelândia (AC)";"101";"-";"-";"13";"-";"-";"1";"55";"1";"6";"1";"-";"-";"-";"-";"3";"9";"1";"-";"11";"-";"-"
"Assis Brasil (AC)";"44";"-";"-";"1";"-";"-";"1";"28";"-";"6";"-";"-";"-";"-";"-";"2";"1";"-";"-";"5";"-";"-"
"Brasiléia (AC)";"221";"3";"3";"21";"-";"-";"4";"129";"3";"11";"-";"1";"1";"6";"8";"2";"14";"5";"2";"8";"-";"-"
"Bujari (AC)";"56";"3";"-";"1";"-";"-";"1";"20";"-";"2";"1";"-";"-";"-";"5";"2";"15";"-";"-";"6";"-";"-"
"Capixaba (AC)";"35";"-";"-";"4";"-";"-";"1";"19";"-";"4";"1";"-";"-";"-";"-";"2";"3";"-";"-";"1";"-";"-"
"Cruzeiro do Sul (AC)";"982";"6";"3";"78";"-";"-";"39";"480";"29";"40";"9";"1";"2";"15";"26";"3";"167";"42";"10";"32";"-";"-"
"Epitaciolândia (AC)";"161";"2";"-";"18";"-";"-";"2";"77";"2";"17";"2";"2";"-";"2";"3";"2";"10";"-";"-";"22";"-";"-"
"Feijó (AC)";"274";"-";"-";"23";"-";"-";"13";"157";"2";"9";"1";"-";"1";"5";"4";"3";"46";"2";"3";"5";"-";"-"
"Jordão (AC)";"14";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"2";"2";"-";"-";"-";"-";"-"
"Mâncio Lima (AC)";"61";"2";"-";"5";"-";"-";"3";"34";"2";"1";"-";"-";"-";"-";"1";"2";"7";"1";"-";"3";"-";"-"
"Manoel Urbano (AC)";"54";"1";"-";"1";"-";"-";"-";"41";"-";"2";"-";"-";"-";"-";"1";"1";"3";"-";"1";"3";"-";"-"
"Marechal Thaumaturgo (AC)";"17";"-";"-";"-";"-";"-";"-";"9";"-";"-";"1";"-";"-";"-";"1";"2";"3";"-";"-";"1";"-";"-"
"Plácido de Castro (AC)";"110";"2";"1";"11";"-";"-";"2";"51";"3";"7";"-";"-";"-";"-";"3";"2";"24";"-";"-";"4";"-";"-"
"Porto Walter (AC)";"22";"-";"-";"-";"-";"-";"4";"10";"1";"-";"1";"-";"-";"-";"-";"2";"3";"-";"-";"1";"-";"-"
"Rio Branco (AC)";"5233";"50";"10";"343";"2";"19";"324";"2318";"115";"370";"76";"41";"46";"212";"291";"59";"303";"206";"80";"367";"-";"1"
"Rodrigues Alves (AC)";"52";"-";"-";"-";"-";"-";"-";"10";"-";"1";"-";"-";"-";"-";"-";"2";"39";"-";"-";"-";"-";"-"
"Santa Rosa do Purus (AC)";"12";"-";"-";"-";"-";"-";"-";"6";"-";"1";"-";"-";"-";"-";"-";"3";"1";"-";"-";"1";"-";"-"
"Senador Guiomard (AC)";"154";"3";"1";"17";"1";"-";"6";"70";"4";"5";"-";"-";"1";"1";"5";"2";"28";"2";"1";"7";"-";"-"
"Sena Madureira (AC)";"393";"1";"1";"29";"-";"1";"19";"209";"2";"28";"2";"1";"1";"7";"6";"2";"54";"5";"4";"21";"-";"-"
"Tarauacá (AC)";"226";"5";"1";"17";"-";"-";"9";"135";"2";"12";"3";"-";"-";"3";"6";"2";"18";"5";"2";"6";"-";"-"
"Xapuri (AC)";"146";"1";"-";"12";"-";"-";"1";"74";"-";"7";"-";"-";"-";"4";"3";"2";"20";"1";"3";"18";"-";"-"
"Porto Acre (AC)";"58";"1";"-";"5";"-";"-";"2";"20";"2";"2";"-";"-";"-";"1";"1";"2";"14";"-";"2";"6";"-";"-"
"Alvarães (AM)";"34";"2";"-";"-";"-";"-";"2";"22";"1";"-";"-";"-";"-";"-";"1";"2";"1";"-";"-";"3";"-";"-"
"Amaturá (AM)";"23";"1";"-";"-";"-";"-";"1";"13";"-";"-";"-";"-";"-";"-";"-";"2";"2";"-";"-";"4";"-";"-"
"Anamã (AM)";"27";"-";"-";"-";"-";"-";"-";"18";"1";"1";"-";"-";"-";"-";"-";"1";"2";"-";"-";"4";"-";"-"
"Anori (AM)";"76";"2";"-";"3";"-";"-";"1";"62";"-";"1";"-";"-";"-";"-";"-";"2";"-";"-";"-";"5";"-";"-"
"Apuí (AM)";"163";"1";"-";"6";"-";"2";"8";"110";"5";"8";"2";"-";"-";"2";"2";"2";"3";"1";"1";"10";"-";"-"
"Atalaia do Norte (AM)";"5";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-"
"Autazes (AM)";"97";"3";"-";"6";"-";"-";"3";"54";"5";"4";"-";"-";"-";"-";"1";"2";"6";"1";"1";"11";"-";"-"
"Barcelos (AM)";"43";"1";"-";"3";"-";"-";"1";"22";"-";"3";"-";"-";"-";"-";"3";"3";"2";"1";"-";"4";"-";"-"
"Barreirinha (AM)";"217";"-";"-";"7";"-";"1";"4";"139";"4";"3";"-";"-";"-";"1";"2";"2";"34";"1";"-";"19";"-";"-"
"Benjamin Constant (AM)";"59";"-";"-";"1";"-";"-";"2";"43";"-";"2";"1";"-";"-";"1";"1";"3";"2";"1";"-";"2";"-";"-"
"Beruri (AM)";"51";"-";"-";"2";"-";"-";"-";"42";"-";"-";"1";"-";"-";"1";"-";"3";"-";"-";"-";"2";"-";"-"
"Boa Vista do Ramos (AM)";"56";"1";"-";"-";"-";"-";"1";"35";"1";"1";"-";"-";"-";"-";"3";"2";"7";"1";"-";"4";"-";"-"
"Boca do Acre (AM)";"283";"3";"-";"21";"-";"-";"6";"218";"2";"7";"2";"-";"-";"6";"2";"2";"5";"1";"1";"7";"-";"-"
"Borba (AM)";"80";"2";"-";"4";"-";"-";"2";"47";"2";"1";"-";"-";"-";"1";"-";"7";"7";"-";"2";"5";"-";"-"
"Caapiranga (AM)";"19";"-";"-";"-";"-";"-";"-";"13";"2";"-";"-";"-";"-";"-";"-";"2";"1";"-";"-";"1";"-";"-"
"Canutama (AM)";"30";"1";"-";"-";"-";"-";"1";"21";"-";"1";"-";"-";"-";"1";"1";"2";"-";"-";"-";"2";"-";"-"
"Carauari (AM)";"181";"-";"-";"11";"-";"-";"4";"151";"1";"1";"-";"-";"-";"1";"1";"2";"4";"-";"-";"5";"-";"-"
"Careiro (AM)";"109";"4";"-";"5";"-";"1";"8";"67";"2";"5";"1";"-";"-";"-";"-";"1";"11";"1";"-";"3";"-";"-"
"Careiro da Várzea (AM)";"42";"-";"-";"-";"-";"-";"-";"18";"4";"-";"-";"-";"-";"-";"1";"2";"13";"1";"-";"3";"-";"-"
"Coari (AM)";"396";"2";"-";"21";"-";"1";"22";"195";"5";"17";"4";"-";"1";"5";"9";"3";"83";"7";"5";"16";"-";"-"
"Codajás (AM)";"46";"-";"-";"2";"-";"-";"1";"30";"1";"2";"-";"-";"-";"-";"1";"2";"4";"-";"-";"3";"-";"-"
"Eirunepé (AM)";"163";"-";"-";"8";"-";"-";"2";"137";"1";"-";"-";"-";"-";"-";"2";"2";"4";"2";"-";"5";"-";"-"
"Envira (AM)";"89";"-";"-";"4";"-";"-";"1";"75";"-";"1";"-";"-";"-";"-";"2";"2";"3";"-";"-";"1";"-";"-"
"Fonte Boa (AM)";"95";"-";"-";"7";"-";"-";"-";"72";"-";"1";"-";"-";"-";"-";"2";"3";"8";"-";"-";"2";"-";"-"
"Guajará (AM)";"20";"-";"-";"2";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"2";"2";"-";"-";"-";"2";"-";"-"
"Humaitá (AM)";"466";"3";"1";"47";"-";"1";"9";"287";"19";"19";"7";"1";"1";"13";"11";"4";"15";"8";"4";"16";"-";"-"
"Ipixuna (AM)";"40";"-";"-";"1";"-";"-";"-";"28";"1";"-";"-";"-";"-";"-";"1";"2";"5";"-";"-";"2";"-";"-"
"Iranduba (AM)";"276";"3";"-";"43";"-";"1";"20";"100";"12";"10";"2";"-";"7";"3";"6";"4";"39";"3";"4";"19";"-";"-"
"Itacoatiara (AM)";"877";"16";"1";"58";"1";"1";"25";"483";"44";"52";"9";"2";"2";"20";"28";"5";"31";"21";"9";"69";"-";"-"
"Itamarati (AM)";"44";"-";"-";"1";"-";"-";"-";"38";"-";"1";"-";"-";"-";"-";"-";"2";"2";"-";"-";"-";"-";"-"
"Itapiranga (AM)";"49";"-";"-";"1";"-";"-";"1";"29";"2";"3";"1";"-";"-";"-";"1";"2";"2";"-";"-";"7";"-";"-"
"Japurá (AM)";"18";"-";"-";"-";"-";"-";"-";"16";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-"
"Juruá (AM)";"18";"1";"-";"-";"-";"-";"-";"14";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"1";"-";"-"
"Jutaí (AM)";"42";"1";"-";"1";"-";"-";"1";"29";"1";"1";"1";"-";"-";"-";"1";"2";"1";"-";"-";"3";"-";"-"
"Lábrea (AM)";"183";"3";"-";"20";"5";"-";"1";"125";"3";"7";"1";"-";"-";"1";"2";"2";"5";"-";"-";"8";"-";"-"
"Manacapuru (AM)";"654";"11";"-";"71";"1";"1";"22";"344";"31";"21";"6";"3";"1";"15";"21";"4";"48";"10";"3";"41";"-";"-"
"Manaquiri (AM)";"48";"-";"-";"1";"-";"-";"1";"31";"2";"1";"-";"-";"-";"1";"-";"2";"3";"-";"-";"6";"-";"-"
"Manaus (AM)";"21569";"39";"12";"1536";"10";"87";"1379";"8835";"1005";"1316";"382";"227";"198";"1310";"1828";"98";"995";"968";"221";"1118";"-";"5"
"Manicoré (AM)";"502";"3";"-";"43";"-";"-";"6";"310";"5";"10";"2";"1";"-";"4";"7";"2";"37";"5";"3";"64";"-";"-"
"Maraã (AM)";"16";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"2";"-";"-"
"Maués (AM)";"442";"4";"-";"14";"-";"1";"1";"224";"6";"12";"1";"-";"1";"8";"7";"4";"116";"5";"7";"31";"-";"-"
"Nhamundá (AM)";"62";"-";"-";"4";"-";"-";"4";"36";"2";"-";"1";"-";"-";"1";"-";"3";"4";"-";"-";"7";"-";"-"
"Nova Olinda do Norte (AM)";"113";"-";"-";"2";"-";"-";"1";"58";"2";"1";"-";"-";"-";"2";"1";"2";"38";"1";"1";"4";"-";"-"
"Novo Airão (AM)";"107";"2";"-";"8";"-";"-";"2";"61";"2";"11";"1";"-";"-";"-";"4";"2";"3";"-";"-";"11";"-";"-"
"Novo Aripuanã (AM)";"124";"1";"-";"13";"-";"-";"2";"87";"4";"4";"1";"-";"-";"1";"3";"2";"3";"-";"1";"2";"-";"-"
"Parintins (AM)";"755";"5";"-";"63";"-";"1";"16";"477";"25";"28";"2";"-";"-";"13";"20";"2";"32";"15";"6";"50";"-";"-"
"Pauini (AM)";"33";"-";"-";"-";"-";"-";"-";"21";"1";"-";"2";"-";"-";"-";"-";"2";"3";"-";"-";"4";"-";"-"
"Presidente Figueiredo (AM)";"201";"6";"8";"13";"-";"2";"9";"90";"10";"33";"1";"-";"-";"4";"6";"3";"4";"3";"-";"9";"-";"-"
"Rio Preto da Eva (AM)";"129";"9";"-";"8";"-";"-";"3";"64";"6";"16";"2";"2";"-";"3";"3";"2";"1";"3";"-";"7";"-";"-"
"Santa Isabel do Rio Negro (AM)";"23";"-";"-";"1";"-";"-";"-";"13";"-";"2";"-";"-";"-";"-";"3";"2";"-";"-";"1";"1";"-";"-"
"Santo Antônio do Içá (AM)";"36";"-";"-";"-";"-";"-";"-";"25";"1";"1";"-";"-";"-";"-";"1";"2";"5";"-";"-";"1";"-";"-"
"São Gabriel da Cachoeira (AM)";"250";"1";"-";"7";"-";"-";"4";"174";"6";"9";"2";"-";"-";"2";"4";"2";"20";"2";"3";"14";"-";"-"
"São Paulo de Olivença (AM)";"29";"-";"-";"1";"-";"-";"-";"21";"-";"-";"-";"1";"-";"-";"1";"2";"1";"-";"-";"2";"-";"-"
"São Sebastião do Uatumã (AM)";"33";"1";"2";"1";"-";"-";"-";"21";"-";"-";"1";"-";"-";"-";"1";"3";"1";"-";"-";"2";"-";"-"
"Silves (AM)";"39";"-";"-";"-";"-";"-";"-";"27";"-";"3";"-";"-";"-";"1";"-";"2";"1";"-";"1";"4";"-";"-"
"Tabatinga (AM)";"207";"1";"-";"4";"-";"1";"3";"148";"2";"13";"6";"-";"-";"4";"6";"3";"7";"2";"1";"6";"-";"-"
"Tapauá (AM)";"35";"1";"-";"-";"-";"-";"-";"27";"1";"-";"1";"-";"-";"-";"1";"2";"-";"-";"-";"2";"-";"-"
"Tefé (AM)";"456";"2";"-";"19";"-";"1";"10";"299";"14";"13";"4";"1";"-";"11";"9";"2";"37";"13";"1";"20";"-";"-"
"Tonantins (AM)";"24";"1";"-";"1";"-";"-";"-";"14";"-";"-";"1";"-";"-";"-";"1";"2";"2";"-";"-";"2";"-";"-"
"Uarini (AM)";"24";"-";"-";"1";"-";"1";"-";"19";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"1";"-";"-"
"Urucará (AM)";"154";"2";"-";"2";"-";"1";"5";"116";"3";"5";"-";"-";"-";"2";"3";"2";"5";"-";"-";"8";"-";"-"
"Urucurituba (AM)";"57";"-";"-";"-";"-";"-";"5";"39";"1";"2";"-";"-";"-";"-";"-";"2";"4";"-";"-";"4";"-";"-"
"Amajari (RR)";"18";"-";"-";"-";"-";"-";"1";"8";"-";"2";"-";"-";"-";"1";"2";"2";"2";"-";"-";"-";"-";"-"
"Alto Alegre (RR)";"52";"2";"-";"-";"-";"-";"1";"35";"3";"3";"-";"-";"-";"1";"1";"2";"1";"-";"-";"3";"-";"-"
"Boa Vista (RR)";"4835";"27";"6";"242";"2";"11";"267";"2388";"101";"416";"67";"37";"46";"207";"280";"29";"201";"167";"49";"290";"-";"2"
"Bonfim (RR)";"32";"2";"-";"2";"-";"-";"2";"18";"-";"2";"-";"-";"-";"-";"2";"3";"1";"-";"-";"-";"-";"-"
"Cantá (RR)";"67";"2";"-";"7";"-";"-";"13";"22";"3";"3";"-";"-";"1";"3";"2";"6";"-";"-";"-";"5";"-";"-"
"Caracaraí (RR)";"126";"2";"2";"10";"-";"1";"2";"84";"4";"7";"2";"-";"-";"-";"3";"3";"1";"1";"1";"3";"-";"-"
"Caroebe (RR)";"45";"1";"-";"1";"-";"-";"2";"36";"-";"1";"-";"-";"-";"-";"1";"2";"-";"1";"-";"-";"-";"-"
"Iracema (RR)";"52";"2";"-";"-";"-";"-";"2";"41";"1";"-";"-";"-";"-";"-";"1";"4";"-";"-";"-";"1";"-";"-"
"Mucajaí (RR)";"140";"2";"1";"7";"-";"-";"2";"96";"5";"8";"-";"-";"-";"3";"2";"3";"2";"1";"2";"6";"-";"-"
"Normandia (RR)";"21";"-";"-";"-";"-";"-";"-";"12";"1";"2";"-";"-";"-";"1";"1";"2";"1";"-";"-";"1";"-";"-"
"Pacaraima (RR)";"95";"-";"-";"2";"-";"-";"1";"71";"2";"6";"-";"-";"-";"3";"4";"2";"-";"1";"1";"2";"-";"-"
"Rorainópolis (RR)";"282";"2";"2";"28";"-";"-";"6";"169";"7";"12";"1";"1";"3";"8";"7";"3";"22";"4";"2";"5";"-";"-"
"São João da Baliza (RR)";"43";"-";"-";"3";"-";"-";"-";"33";"-";"1";"1";"-";"-";"-";"1";"2";"-";"-";"-";"2";"-";"-"
"São Luiz (RR)";"49";"-";"-";"-";"-";"-";"1";"34";"-";"1";"-";"-";"-";"3";"1";"4";"1";"2";"1";"1";"-";"-"
"Uiramutã (RR)";"13";"-";"-";"-";"-";"-";"-";"11";"-";"1";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-"
"Abaetetuba (PA)";"964";"7";"2";"47";"-";"1";"23";"520";"15";"32";"7";"-";"-";"19";"19";"2";"154";"27";"17";"72";"-";"-"
"Abel Figueiredo (PA)";"79";"3";"-";"7";"-";"1";"-";"47";"1";"-";"1";"-";"-";"2";"1";"6";"5";"-";"-";"5";"-";"-"
"Acará (PA)";"173";"5";"2";"4";"-";"-";"4";"81";"3";"4";"1";"-";"-";"1";"2";"3";"42";"-";"1";"20";"-";"-"
"Afuá (PA)";"42";"2";"-";"4";"-";"-";"2";"19";"2";"1";"-";"-";"-";"1";"1";"3";"-";"-";"-";"7";"-";"-"
"Água Azul do Norte (PA)";"89";"1";"-";"2";"-";"-";"3";"62";"2";"5";"1";"-";"-";"1";"1";"5";"3";"3";"-";"-";"-";"-"
