"Tabela 6449 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Variável - Número de empresas e outras organizações (Unidades)"
"Município";"Ano x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Município";"2015"
"Município";"Total";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";"B Indústrias extrativas";"C Indústrias de transformação";"D Eletricidade e gás";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";"F Construção";"G Comércio; reparação de veículos automotores e motocicletas";"H Transporte, armazenagem e correio";"I Alojamento e alimentação";"J Informação e comunicação";"K Atividades financeiras, de seguros e serviços relacionados";"L Atividades imobiliárias";"M Atividades profissionais, científicas e técnicas";"N Atividades administrativas e serviços complementares";"O Administração pública, defesa e seguridade social";"P Educação";"Q Saúde humana e serviços sociais";"R Artes, cultura, esporte e recreação";"S Outras atividades de serviços";"T Serviços domésticos";"U Organismos internacionais e outras instituições extraterritoriais"
"São José do Bonfim (PB)";"12";"1";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"2";"1";"-";"-";"2";"-";"-"
"São José do Brejo do Cruz (PB)";"13";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"1";"2";"2";"-";"-";"1";"-";"-"
"São José do Sabugi (PB)";"69";"-";"1";"14";"-";"-";"1";"31";"-";"-";"-";"1";"-";"2";"1";"5";"7";"-";"2";"4";"-";"-"
"São José dos Cordeiros (PB)";"15";"-";"-";"-";"-";"-";"1";"9";"-";"1";"1";"-";"-";"-";"-";"2";"1";"-";"-";"-";"-";"-"
"São Mamede (PB)";"193";"-";"2";"4";"-";"-";"9";"104";"3";"6";"1";"-";"-";"3";"4";"2";"12";"1";"1";"41";"-";"-"
"São Miguel de Taipu (PB)";"31";"3";"3";"1";"-";"-";"-";"13";"1";"-";"-";"-";"1";"-";"1";"3";"-";"-";"-";"5";"-";"-"
"São Sebastião de Lagoa de Roça (PB)";"66";"-";"-";"6";"-";"-";"-";"38";"2";"1";"-";"-";"-";"1";"2";"2";"1";"-";"1";"12";"-";"-"
"São Sebastião do Umbuzeiro (PB)";"23";"1";"-";"-";"-";"-";"-";"14";"-";"1";"-";"-";"-";"-";"-";"2";"1";"-";"-";"4";"-";"-"
"Sapé (PB)";"438";"4";"-";"20";"-";"-";"14";"288";"12";"12";"1";"-";"5";"3";"5";"5";"20";"8";"5";"36";"-";"-"
"São Vicente do Seridó (PB)";"52";"1";"-";"1";"-";"-";"1";"40";"1";"1";"-";"-";"-";"1";"1";"2";"2";"-";"-";"1";"-";"-"
"Serra Branca (PB)";"152";"2";"-";"5";"-";"1";"4";"92";"-";"7";"3";"-";"-";"4";"6";"3";"7";"4";"1";"13";"-";"-"
"Serra da Raiz (PB)";"27";"-";"-";"1";"-";"-";"-";"7";"1";"-";"-";"-";"-";"-";"1";"2";"3";"-";"-";"12";"-";"-"
"Serra Grande (PB)";"39";"-";"-";"1";"-";"-";"-";"16";"-";"-";"-";"-";"-";"-";"1";"4";"4";"-";"-";"13";"-";"-"
"Serra Redonda (PB)";"38";"-";"-";"5";"-";"-";"1";"27";"-";"-";"-";"-";"-";"-";"-";"2";"1";"-";"-";"2";"-";"-"
"Serraria (PB)";"38";"-";"-";"2";"-";"-";"-";"17";"-";"-";"-";"-";"-";"1";"2";"2";"2";"-";"-";"12";"-";"-"
"Sertãozinho (PB)";"27";"-";"-";"1";"-";"-";"1";"16";"2";"-";"-";"-";"-";"-";"1";"3";"2";"-";"-";"1";"-";"-"
"Sobrado (PB)";"51";"2";"1";"1";"-";"-";"1";"13";"1";"3";"-";"-";"-";"-";"2";"2";"15";"-";"-";"10";"-";"-"
"Solânea (PB)";"457";"3";"-";"17";"-";"2";"4";"247";"6";"11";"6";"1";"2";"5";"12";"2";"45";"15";"4";"75";"-";"-"
"Soledade (PB)";"196";"7";"1";"22";"-";"-";"7";"108";"6";"9";"1";"1";"-";"5";"4";"3";"5";"2";"-";"15";"-";"-"
"Sossêgo (PB)";"29";"-";"-";"1";"-";"-";"-";"17";"-";"-";"1";"-";"-";"-";"1";"2";"2";"-";"-";"5";"-";"-"
"Sousa (PB)";"1473";"10";"-";"164";"-";"9";"73";"853";"14";"62";"22";"6";"3";"41";"54";"3";"33";"50";"16";"60";"-";"-"
"Sumé (PB)";"279";"4";"-";"10";"-";"-";"18";"134";"3";"3";"5";"2";"2";"8";"11";"7";"12";"7";"1";"52";"-";"-"
"Tacima (PB)";"47";"1";"-";"-";"-";"-";"1";"28";"2";"2";"-";"-";"2";"-";"2";"2";"1";"-";"-";"6";"-";"-"
"Taperoá (PB)";"123";"4";"1";"9";"-";"-";"3";"76";"-";"2";"1";"-";"-";"3";"3";"2";"5";"1";"1";"12";"-";"-"
"Tavares (PB)";"110";"-";"-";"2";"-";"-";"3";"79";"-";"2";"1";"-";"-";"-";"1";"2";"13";"1";"1";"5";"-";"-"
"Teixeira (PB)";"139";"1";"-";"6";"-";"-";"3";"93";"-";"5";"1";"-";"-";"2";"7";"2";"5";"2";"3";"9";"-";"-"
"Tenório (PB)";"19";"-";"3";"1";"-";"-";"-";"10";"-";"-";"-";"-";"-";"1";"-";"2";"1";"-";"-";"1";"-";"-"
"Triunfo (PB)";"93";"-";"-";"2";"-";"-";"1";"71";"-";"2";"1";"-";"-";"2";"-";"2";"4";"-";"-";"8";"-";"-"
"Uiraúna (PB)";"210";"-";"-";"10";"-";"-";"6";"142";"2";"4";"5";"-";"1";"5";"7";"3";"6";"7";"4";"8";"-";"-"
"Umbuzeiro (PB)";"80";"-";"-";"-";"-";"-";"-";"52";"-";"-";"1";"-";"1";"3";"3";"2";"2";"1";"1";"14";"-";"-"
"Várzea (PB)";"33";"-";"1";"9";"-";"-";"-";"17";"-";"-";"-";"1";"-";"1";"-";"1";"1";"-";"-";"2";"-";"-"
"Vieirópolis (PB)";"24";"1";"-";"-";"-";"-";"1";"13";"-";"-";"-";"-";"-";"-";"1";"2";"3";"-";"-";"3";"-";"-"
"Zabelê (PB)";"15";"-";"-";"2";"-";"-";"1";"7";"-";"-";"-";"-";"-";"-";"1";"2";"-";"-";"-";"2";"-";"-"
"Abreu e Lima (PE)";"857";"2";"1";"139";"-";"5";"24";"439";"30";"39";"8";"5";"2";"16";"31";"2";"44";"21";"7";"42";"-";"-"
"Afogados da Ingazeira (PE)";"658";"-";"1";"34";"-";"2";"25";"384";"4";"28";"19";"5";"3";"14";"21";"9";"17";"23";"10";"59";"-";"-"
"Afrânio (PE)";"152";"-";"-";"11";"-";"-";"1";"89";"2";"4";"1";"-";"-";"2";"2";"3";"23";"1";"3";"10";"-";"-"
"Agrestina (PE)";"234";"2";"2";"22";"-";"2";"5";"111";"4";"12";"3";"-";"1";"3";"9";"6";"17";"8";"1";"26";"-";"-"
"Água Preta (PE)";"111";"6";"-";"19";"-";"2";"10";"45";"1";"5";"-";"1";"1";"2";"4";"3";"5";"-";"-";"7";"-";"-"
"Águas Belas (PE)";"252";"2";"-";"14";"-";"-";"2";"136";"3";"14";"1";"1";"1";"4";"7";"3";"50";"5";"3";"6";"-";"-"
"Alagoinha (PE)";"83";"-";"-";"7";"-";"-";"-";"50";"1";"1";"-";"-";"-";"1";"2";"4";"13";"-";"-";"4";"-";"-"
"Aliança (PE)";"309";"13";"-";"17";"-";"1";"7";"171";"17";"8";"1";"-";"-";"10";"8";"3";"22";"5";"4";"22";"-";"-"
"Altinho (PE)";"210";"1";"1";"13";"-";"-";"4";"70";"3";"1";"5";"2";"1";"5";"4";"5";"28";"4";"9";"54";"-";"-"
"Amaraji (PE)";"143";"3";"-";"10";"1";"-";"2";"90";"3";"5";"2";"-";"-";"2";"7";"5";"5";"1";"-";"7";"-";"-"
"Angelim (PE)";"46";"-";"-";"6";"-";"-";"-";"24";"-";"1";"-";"-";"1";"3";"4";"3";"1";"-";"-";"3";"-";"-"
"Araçoiaba (PE)";"77";"1";"-";"2";"-";"-";"2";"44";"9";"5";"-";"-";"-";"1";"-";"3";"3";"1";"1";"5";"-";"-"
"Araripina (PE)";"1046";"-";"16";"187";"1";"3";"23";"537";"18";"38";"10";"1";"4";"27";"47";"2";"27";"45";"11";"49";"-";"-"
"Arcoverde (PE)";"1084";"5";"2";"93";"-";"3";"46";"586";"35";"75";"15";"8";"5";"38";"31";"7";"37";"51";"12";"35";"-";"-"
"Barra de Guabiraba (PE)";"76";"6";"-";"11";"-";"-";"1";"38";"-";"2";"-";"-";"-";"2";"3";"4";"2";"-";"1";"6";"-";"-"
"Barreiros (PE)";"448";"6";"1";"26";"-";"-";"11";"287";"12";"28";"5";"3";"-";"11";"8";"5";"9";"8";"5";"23";"-";"-"
"Belém de Maria (PE)";"44";"2";"-";"4";"-";"-";"-";"27";"-";"1";"2";"-";"-";"1";"1";"2";"1";"-";"-";"3";"-";"-"
"Belém do São Francisco (PE)";"123";"6";"-";"4";"-";"-";"1";"72";"1";"3";"3";"-";"-";"4";"-";"3";"7";"3";"-";"16";"-";"-"
"Belo Jardim (PE)";"899";"5";"1";"131";"-";"6";"31";"435";"26";"40";"10";"6";"7";"19";"25";"5";"85";"24";"11";"32";"-";"-"
"Betânia (PE)";"47";"1";"-";"2";"-";"-";"-";"36";"-";"-";"-";"1";"-";"-";"1";"3";"-";"1";"-";"2";"-";"-"
"Bezerros (PE)";"820";"5";"-";"131";"-";"2";"37";"404";"20";"54";"11";"3";"10";"23";"43";"3";"28";"16";"11";"19";"-";"-"
"Bodocó (PE)";"256";"-";"-";"21";"-";"-";"10";"137";"2";"4";"2";"-";"-";"4";"3";"4";"56";"3";"3";"7";"-";"-"
"Bom Conselho (PE)";"269";"4";"-";"19";"-";"2";"6";"162";"7";"13";"2";"1";"2";"9";"8";"2";"9";"5";"2";"16";"-";"-"
"Bom Jardim (PE)";"258";"1";"4";"25";"-";"1";"10";"144";"5";"12";"-";"1";"-";"2";"13";"5";"15";"3";"-";"17";"-";"-"
"Bonito (PE)";"351";"13";"-";"24";"-";"1";"11";"153";"4";"19";"29";"1";"2";"18";"16";"5";"10";"7";"7";"31";"-";"-"
"Brejão (PE)";"42";"6";"-";"3";"-";"-";"2";"21";"1";"-";"-";"-";"-";"2";"1";"5";"1";"-";"-";"-";"-";"-"
"Brejinho (PE)";"41";"-";"-";"2";"-";"-";"2";"26";"-";"-";"1";"1";"-";"2";"2";"2";"-";"1";"-";"2";"-";"-"
"Brejo da Madre de Deus (PE)";"278";"2";"1";"63";"-";"-";"3";"151";"1";"7";"2";"1";"2";"3";"13";"5";"7";"4";"4";"9";"-";"-"
"Buenos Aires (PE)";"77";"-";"-";"6";"-";"-";"1";"41";"3";"1";"-";"-";"-";"1";"1";"3";"5";"2";"6";"7";"-";"-"
"Buíque (PE)";"246";"-";"-";"10";"-";"-";"2";"139";"2";"10";"2";"-";"1";"4";"8";"6";"48";"4";"-";"10";"-";"-"
"Cabo de Santo Agostinho (PE)";"2015";"5";"3";"180";"2";"6";"90";"824";"152";"182";"18";"14";"23";"48";"117";"5";"144";"61";"14";"127";"-";"-"
"Cabrobó (PE)";"386";"3";"-";"14";"-";"-";"3";"251";"5";"14";"3";"1";"1";"5";"6";"3";"42";"14";"3";"18";"-";"-"
"Cachoeirinha (PE)";"228";"-";"-";"25";"-";"-";"4";"140";"5";"11";"2";"1";"1";"2";"7";"5";"7";"1";"8";"9";"-";"-"
"Caetés (PE)";"77";"1";"-";"12";"-";"-";"1";"42";"1";"4";"-";"-";"-";"3";"3";"5";"2";"1";"-";"2";"-";"-"
"Calçado (PE)";"61";"1";"-";"2";"-";"-";"1";"30";"-";"1";"1";"-";"-";"-";"2";"5";"10";"-";"1";"7";"-";"-"
"Calumbi (PE)";"33";"-";"-";"-";"-";"-";"-";"18";"-";"1";"-";"-";"-";"-";"4";"5";"1";"-";"-";"4";"-";"-"
"Camaragibe (PE)";"1384";"2";"-";"140";"-";"5";"40";"713";"29";"89";"17";"3";"10";"27";"88";"6";"79";"28";"23";"85";"-";"-"
"Camocim de São Félix (PE)";"157";"6";"-";"13";"-";"-";"3";"94";"1";"6";"-";"-";"-";"2";"6";"3";"8";"4";"3";"8";"-";"-"
"Camutanga (PE)";"63";"-";"-";"10";"-";"-";"2";"32";"5";"1";"-";"2";"-";"2";"2";"3";"1";"-";"1";"2";"-";"-"
"Canhotinho (PE)";"167";"1";"-";"11";"-";"-";"4";"103";"3";"4";"2";"1";"1";"3";"6";"5";"8";"3";"2";"10";"-";"-"
"Capoeiras (PE)";"70";"-";"-";"2";"-";"-";"1";"47";"1";"2";"1";"-";"-";"3";"3";"4";"2";"-";"-";"4";"-";"-"
"Carnaíba (PE)";"137";"1";"-";"6";"-";"-";"13";"65";"1";"1";"1";"-";"-";"5";"3";"4";"4";"10";"1";"22";"-";"-"
"Carnaubeira da Penha (PE)";"99";"-";"-";"-";"-";"-";"-";"11";"1";"-";"-";"-";"-";"-";"1";"4";"45";"-";"-";"37";"-";"-"
"Carpina (PE)";"1412";"1";"4";"117";"-";"8";"69";"786";"32";"76";"15";"7";"13";"37";"51";"5";"62";"50";"15";"64";"-";"-"
"Caruaru (PE)";"7948";"25";"2";"1371";"-";"17";"263";"3727";"208";"444";"97";"72";"123";"297";"437";"7";"281";"232";"83";"262";"-";"-"
"Casinhas (PE)";"50";"-";"-";"6";"-";"-";"2";"12";"1";"-";"-";"-";"-";"-";"1";"4";"19";"-";"-";"5";"-";"-"
"Catende (PE)";"244";"-";"1";"16";"-";"1";"4";"151";"12";"7";"2";"3";"-";"7";"8";"2";"11";"4";"5";"10";"-";"-"
"Cedro (PE)";"146";"2";"-";"2";"-";"1";"-";"52";"2";"1";"1";"-";"-";"2";"29";"2";"9";"1";"1";"41";"-";"-"
"Chã de Alegria (PE)";"62";"4";"-";"6";"-";"-";"1";"31";"5";"1";"1";"-";"-";"1";"2";"3";"1";"1";"1";"4";"-";"-"
"Chã Grande (PE)";"238";"3";"-";"16";"-";"-";"7";"111";"5";"5";"6";"10";"3";"7";"17";"5";"25";"3";"2";"13";"-";"-"
"Condado (PE)";"199";"-";"-";"8";"-";"-";"4";"128";"8";"5";"1";"-";"2";"5";"5";"4";"18";"1";"1";"9";"-";"-"
"Correntes (PE)";"95";"-";"-";"-";"-";"-";"-";"49";"-";"-";"2";"-";"-";"4";"2";"5";"16";"1";"-";"16";"-";"-"
"Cortês (PE)";"90";"2";"-";"6";"-";"-";"1";"36";"8";"-";"2";"-";"-";"1";"-";"3";"17";"-";"-";"14";"-";"-"
"Cumaru (PE)";"73";"-";"-";"4";"-";"-";"1";"54";"1";"-";"2";"-";"-";"2";"1";"3";"1";"1";"1";"2";"-";"-"
"Cupira (PE)";"403";"-";"-";"88";"-";"-";"3";"211";"4";"15";"5";"-";"2";"10";"5";"4";"30";"4";"5";"17";"-";"-"
"Custódia (PE)";"452";"3";"-";"18";"-";"1";"16";"258";"4";"12";"4";"1";"3";"5";"18";"5";"29";"21";"6";"48";"-";"-"
"Dormentes (PE)";"200";"-";"-";"9";"-";"-";"1";"80";"7";"1";"2";"-";"-";"3";"7";"3";"15";"4";"-";"68";"-";"-"
"Escada (PE)";"568";"12";"-";"63";"-";"1";"25";"275";"43";"41";"2";"3";"-";"13";"21";"3";"23";"8";"5";"30";"-";"-"
"Exu (PE)";"220";"-";"-";"6";"-";"-";"4";"158";"1";"7";"-";"-";"-";"3";"5";"3";"22";"2";"-";"9";"-";"-"
"Feira Nova (PE)";"211";"6";"-";"22";"-";"1";"9";"117";"9";"7";"-";"4";"1";"2";"8";"5";"10";"5";"1";"4";"-";"-"
"Fernando de Noronha (PE)";"216";"-";"-";"4";"-";"-";"1";"30";"9";"120";"1";"-";"-";"5";"32";"1";"1";"-";"8";"4";"-";"-"
"Ferreiros (PE)";"136";"-";"-";"11";"-";"-";"3";"74";"13";"5";"1";"-";"-";"3";"4";"5";"2";"-";"1";"14";"-";"-"
"Flores (PE)";"122";"1";"3";"4";"-";"-";"3";"70";"3";"3";"3";"1";"-";"3";"2";"5";"4";"-";"4";"13";"-";"-"
"Floresta (PE)";"274";"2";"-";"15";"-";"-";"4";"136";"-";"11";"2";"-";"2";"7";"9";"8";"17";"7";"2";"52";"-";"-"
"Frei Miguelinho (PE)";"103";"-";"-";"14";"-";"-";"1";"54";"2";"1";"-";"-";"-";"1";"5";"3";"8";"-";"2";"12";"-";"-"
"Gameleira (PE)";"89";"2";"-";"7";"1";"-";"2";"47";"7";"-";"-";"1";"-";"3";"3";"4";"3";"-";"-";"9";"-";"-"
"Garanhuns (PE)";"2226";"7";"2";"155";"-";"4";"77";"1166";"55";"146";"30";"21";"19";"73";"119";"10";"102";"103";"31";"106";"-";"-"
"Glória do Goitá (PE)";"228";"10";"-";"14";"-";"1";"14";"90";"10";"2";"2";"1";"2";"2";"6";"2";"24";"2";"9";"37";"-";"-"
"Goiana (PE)";"1090";"13";"3";"100";"-";"2";"29";"567";"41";"98";"7";"11";"9";"20";"35";"4";"46";"41";"13";"51";"-";"-"
"Granito (PE)";"52";"-";"-";"1";"-";"1";"2";"27";"-";"-";"-";"-";"-";"2";"1";"5";"7";"1";"-";"5";"-";"-"
"Gravatá (PE)";"1567";"17";"1";"140";"-";"8";"54";"671";"22";"131";"16";"12";"11";"40";"263";"5";"48";"28";"23";"77";"-";"-"
"Iati (PE)";"69";"-";"1";"-";"-";"-";"1";"49";"2";"2";"1";"-";"-";"-";"2";"5";"2";"-";"1";"3";"-";"-"
"Ibimirim (PE)";"169";"1";"-";"4";"-";"-";"3";"116";"-";"8";"3";"-";"-";"3";"2";"5";"14";"3";"-";"7";"-";"-"
"Ibirajuba (PE)";"33";"-";"-";"3";"-";"-";"1";"19";"1";"-";"-";"-";"-";"1";"2";"2";"1";"-";"-";"3";"-";"-"
"Igarassu (PE)";"1062";"15";"6";"128";"1";"5";"35";"479";"72";"48";"10";"14";"5";"27";"46";"4";"81";"21";"16";"49";"-";"-"
"Iguaracy (PE)";"77";"3";"-";"2";"-";"-";"4";"46";"-";"-";"-";"-";"-";"3";"6";"5";"3";"2";"-";"3";"-";"-"
"Inajá (PE)";"90";"1";"-";"5";"-";"-";"-";"72";"1";"5";"-";"-";"-";"1";"1";"3";"-";"-";"-";"1";"-";"-"
"Ingazeira (PE)";"48";"2";"-";"1";"-";"-";"3";"17";"-";"1";"-";"-";"-";"-";"-";"4";"2";"3";"-";"15";"-";"-"
"Ipojuca (PE)";"1263";"6";"4";"60";"-";"3";"31";"529";"52";"324";"5";"6";"13";"22";"102";"3";"27";"14";"11";"51";"-";"-"
"Ipubi (PE)";"227";"-";"14";"82";"-";"-";"3";"85";"1";"2";"1";"-";"-";"1";"1";"4";"27";"2";"1";"3";"-";"-"
"Itacuruba (PE)";"23";"2";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"-";"3";"1";"-";"-";"2";"-";"-"
"Itaíba (PE)";"114";"-";"-";"6";"-";"-";"3";"82";"1";"3";"-";"-";"-";"2";"3";"3";"-";"-";"-";"11";"-";"-"
"Ilha de Itamaracá (PE)";"214";"6";"-";"14";"-";"1";"15";"83";"3";"23";"3";"1";"3";"3";"32";"5";"8";"1";"6";"7";"-";"-"
"Itambé (PE)";"423";"5";"-";"41";"-";"-";"13";"232";"29";"18";"1";"1";"1";"7";"14";"5";"23";"7";"5";"21";"-";"-"
"Itapetim (PE)";"152";"2";"-";"6";"-";"-";"3";"80";"-";"1";"2";"-";"-";"1";"3";"3";"3";"5";"1";"42";"-";"-"
"Itapissuma (PE)";"169";"2";"1";"17";"-";"1";"6";"77";"7";"17";"-";"2";"-";"2";"8";"3";"20";"-";"1";"5";"-";"-"
"Itaquitinga (PE)";"88";"-";"-";"5";"-";"-";"1";"44";"3";"4";"1";"1";"-";"1";"4";"5";"12";"-";"-";"7";"-";"-"
"Jaboatão dos Guararapes (PE)";"7648";"27";"5";"668";"1";"37";"413";"3073";"600";"462";"86";"54";"88";"217";"931";"5";"330";"123";"69";"459";"-";"-"
"Jaqueira (PE)";"77";"3";"-";"4";"-";"-";"3";"34";"3";"1";"1";"-";"-";"2";"3";"3";"17";"-";"-";"3";"-";"-"
"Jataúba (PE)";"108";"1";"-";"11";"-";"-";"1";"61";"2";"2";"-";"-";"-";"3";"12";"4";"3";"2";"1";"5";"-";"-"
"Jatobá (PE)";"85";"8";"-";"2";"-";"3";"-";"47";"1";"-";"1";"-";"-";"1";"1";"2";"11";"2";"1";"5";"-";"-"
"João Alfredo (PE)";"284";"-";"-";"61";"-";"-";"1";"141";"1";"11";"2";"-";"-";"3";"5";"6";"38";"6";"3";"6";"-";"-"
"Joaquim Nabuco (PE)";"61";"2";"-";"6";"-";"-";"2";"31";"2";"1";"1";"2";"-";"-";"3";"3";"1";"2";"-";"5";"-";"-"
"Jucati (PE)";"51";"1";"-";"3";"-";"-";"1";"30";"4";"-";"-";"-";"-";"1";"-";"5";"1";"-";"-";"5";"-";"-"
"Jupi (PE)";"127";"2";"-";"12";"-";"-";"3";"70";"3";"1";"1";"-";"2";"4";"4";"2";"14";"3";"1";"5";"-";"-"
"Jurema (PE)";"121";"1";"-";"6";"-";"-";"4";"66";"1";"2";"1";"-";"-";"1";"1";"5";"21";"1";"-";"11";"-";"-"
"Lagoa do Carro (PE)";"109";"3";"-";"11";"-";"1";"3";"62";"2";"7";"-";"-";"1";"2";"2";"4";"3";"3";"1";"4";"-";"-"
"Lagoa de Itaenga (PE)";"221";"3";"-";"18";"-";"-";"3";"125";"12";"6";"1";"-";"2";"-";"6";"4";"20";"2";"3";"16";"-";"-"
"Lagoa do Ouro (PE)";"51";"-";"-";"1";"-";"-";"-";"28";"1";"-";"-";"-";"-";"1";"3";"4";"4";"3";"-";"6";"-";"-"
"Lagoa dos Gatos (PE)";"92";"1";"-";"8";"-";"-";"2";"51";"-";"-";"2";"-";"-";"2";"3";"3";"6";"-";"1";"13";"-";"-"
"Lagoa Grande (PE)";"205";"7";"-";"9";"-";"-";"4";"136";"2";"8";"1";"-";"-";"4";"7";"2";"8";"3";"1";"13";"-";"-"
"Lajedo (PE)";"591";"2";"-";"75";"-";"-";"12";"369";"8";"17";"5";"3";"13";"13";"11";"6";"9";"6";"5";"37";"-";"-"
"Limoeiro (PE)";"1063";"7";"-";"133";"-";"8";"33";"547";"19";"46";"15";"5";"6";"31";"37";"3";"65";"37";"21";"50";"-";"-"
"Macaparana (PE)";"185";"2";"-";"18";"1";"-";"-";"111";"4";"6";"3";"1";"-";"4";"2";"5";"12";"4";"1";"11";"-";"-"
"Machados (PE)";"81";"-";"-";"3";"-";"-";"-";"62";"-";"3";"1";"-";"-";"-";"2";"4";"2";"-";"-";"4";"-";"-"
"Manari (PE)";"57";"-";"-";"2";"-";"-";"-";"44";"-";"1";"-";"-";"-";"4";"2";"2";"-";"-";"1";"1";"-";"-"
"Maraial (PE)";"51";"4";"-";"3";"-";"-";"-";"30";"2";"2";"1";"-";"1";"2";"1";"3";"1";"-";"-";"1";"-";"-"
"Mirandiba (PE)";"117";"-";"-";"2";"-";"-";"3";"69";"1";"1";"-";"-";"-";"1";"2";"3";"3";"3";"1";"28";"-";"-"
"Moreno (PE)";"644";"14";"1";"52";"-";"3";"29";"234";"62";"22";"15";"5";"2";"45";"58";"6";"47";"10";"8";"31";"-";"-"
"Nazaré da Mata (PE)";"404";"-";"2";"34";"-";"1";"13";"236";"16";"19";"6";"-";"2";"6";"16";"3";"13";"7";"5";"25";"-";"-"
"Olinda (PE)";"5932";"8";"3";"493";"1";"21";"329";"2231";"134";"357";"179";"90";"55";"418";"669";"7";"313";"199";"89";"336";"-";"-"
"Orobó (PE)";"150";"2";"-";"6";"-";"-";"3";"101";"4";"6";"2";"-";"-";"2";"5";"3";"5";"3";"2";"6";"-";"-"
"Orocó (PE)";"109";"1";"-";"-";"-";"-";"1";"80";"-";"2";"1";"-";"-";"-";"1";"3";"14";"-";"1";"5";"-";"-"
"Ouricuri (PE)";"460";"-";"7";"33";"-";"2";"10";"284";"3";"29";"3";"1";"4";"11";"16";"6";"9";"20";"5";"17";"-";"-"
"Palmares (PE)";"889";"4";"-";"54";"-";"4";"22";"468";"32";"55";"9";"6";"3";"26";"30";"9";"68";"40";"6";"53";"-";"-"
"Palmeirina (PE)";"34";"1";"-";"2";"-";"-";"-";"21";"-";"-";"-";"-";"-";"1";"-";"5";"2";"-";"-";"2";"-";"-"
"Panelas (PE)";"159";"-";"-";"11";"-";"2";"3";"110";"1";"3";"1";"-";"-";"6";"7";"5";"3";"1";"2";"4";"-";"-"
"Paranatama (PE)";"46";"1";"1";"1";"-";"1";"1";"27";"1";"1";"-";"-";"1";"2";"1";"2";"2";"1";"-";"3";"-";"-"
"Parnamirim (PE)";"107";"6";"-";"4";"-";"-";"-";"60";"1";"6";"1";"-";"1";"4";"2";"4";"3";"2";"3";"10";"-";"-"
"Passira (PE)";"235";"3";"-";"20";"-";"-";"2";"135";"6";"11";"2";"-";"1";"3";"7";"3";"5";"4";"3";"30";"-";"-"
"Paudalho (PE)";"487";"8";"1";"77";"-";"2";"23";"223";"12";"31";"4";"1";"5";"4";"28";"4";"18";"5";"9";"32";"-";"-"
"Paulista (PE)";"3151";"10";"-";"352";"1";"12";"154";"1385";"67";"187";"74";"31";"20";"142";"269";"5";"182";"71";"37";"152";"-";"-"
"Pedra (PE)";"90";"6";"1";"12";"-";"1";"1";"48";"3";"4";"-";"-";"-";"1";"2";"4";"1";"2";"1";"3";"-";"-"
"Pesqueira (PE)";"644";"2";"-";"88";"-";"1";"13";"347";"14";"39";"15";"2";"2";"16";"32";"7";"17";"13";"8";"28";"-";"-"
"Petrolândia (PE)";"301";"4";"-";"14";"-";"-";"8";"196";"6";"20";"1";"2";"-";"7";"12";"2";"12";"6";"4";"7";"-";"-"
"Petrolina (PE)";"5624";"135";"8";"355";"2";"12";"260";"2615";"158";"356";"68";"60";"71";"211";"382";"9";"301";"288";"69";"264";"-";"-"
"Poção (PE)";"56";"-";"-";"8";"-";"-";"-";"33";"-";"1";"-";"-";"-";"2";"1";"4";"2";"-";"1";"4";"-";"-"
"Pombos (PE)";"243";"2";"-";"15";"-";"1";"5";"133";"16";"8";"2";"1";"-";"4";"9";"5";"32";"2";"3";"5";"-";"-"
"Primavera (PE)";"72";"2";"1";"1";"-";"1";"1";"49";"2";"1";"-";"-";"-";"1";"2";"4";"3";"-";"-";"4";"-";"-"
"Quipapá (PE)";"112";"1";"-";"7";"-";"-";"-";"76";"-";"3";"1";"-";"-";"4";"8";"3";"3";"2";"2";"2";"-";"-"
"Quixaba (PE)";"43";"-";"-";"2";"-";"-";"1";"19";"-";"1";"-";"-";"-";"1";"-";"4";"4";"-";"-";"11";"-";"-"
"Recife (PE)";"40137";"94";"17";"2203";"65";"68";"1979";"13530";"1206";"2877";"1089";"802";"759";"2943";"6268";"91";"1496";"1552";"507";"2585";"-";"6"
"Riacho das Almas (PE)";"249";"6";"-";"74";"-";"1";"4";"90";"1";"5";"-";"-";"3";"2";"4";"5";"31";"-";"1";"22";"-";"-"
"Ribeirão (PE)";"336";"6";"-";"31";"1";"2";"12";"189";"16";"17";"4";"1";"-";"9";"12";"5";"14";"6";"-";"11";"-";"-"
"Rio Formoso (PE)";"119";"6";"-";"4";"-";"1";"3";"55";"5";"11";"-";"-";"-";"2";"6";"3";"18";"-";"-";"5";"-";"-"
"Sairé (PE)";"102";"3";"-";"10";"-";"-";"3";"53";"2";"3";"-";"2";"1";"1";"9";"3";"3";"1";"-";"8";"-";"-"
"Salgadinho (PE)";"39";"-";"1";"-";"-";"-";"1";"18";"1";"2";"-";"-";"-";"2";"1";"4";"2";"1";"2";"4";"-";"-"
